ts,host,op,case,label,min_ms,med_ms,all_ms,tag
20260730_170624,local,add,add_medium_0.in,med0,17.8,18.2,"18.9,18.1,17.8,18.2,18.2",after_full_clean
20260730_170624,local,add,add_medium_1.in,med1,17.7,18.2,"18.5,18.2,17.7,18.4,17.9",after_full_clean
20260730_170624,local,add,add_large_0.in,large,17.1,17.4,"17.5,17.2,17.4,17.1,17.5",after_full_clean
20260730_170624,local,add,add_max_0.in,max0,13.9,14.5,"14.9,14.0,14.6,14.5,13.9",after_full_clean
20260730_170624,local,add,add_max_1.in,max1,13.2,14.1,"13.2,13.9,14.1,14.2,14.5",after_full_clean
20260730_170624,local,mul,mul_medium_0.in,med,29.2,30.1,"29.5,29.2,30.1,30.4,30.4",after_full_clean
20260730_170624,local,mul,mul_large_0.in,large,32.3,32.4,"32.3,32.3,35.9,32.4,33.1",after_full_clean
20260730_170624,local,mul,mul_max_0.in,max0,23.5,24.1,"24.1,24.3,23.6,24.6,23.5",after_full_clean
20260730_170624,local,mul,mul_max_1.in,max1,23.2,24.0,"24.0,24.5,23.2,24.9,23.7",after_full_clean
20260730_170624,local,div,div_medium_0.in,med,33.0,33.2,"33.3,33.2,34.0,33.0,33.2",after_full_clean
20260730_170624,local,div,div_large_0.in,large,46.8,47.0,"46.9,47.0,46.8,47.7,48.8",after_full_clean
20260730_170624,local,div,div_max_0.in,max0,38.5,39.9,"40.1,38.5,39.9,40.3,38.8",after_full_clean
20260730_170624,local,div,div_max_2.in,max2,43.2,43.4,"44.6,43.2,43.3,44.7,43.4",after_full_clean
