reps=11 warm=2  bins=d34,d37,d38
case                                  d34        d37        d38     r_d37     r_d38
length_ratio_integer_00             35.78      36.89      35.26     0.995     0.964
r_nearly_zero_01                    33.74      33.28      31.82     0.969     0.938
burnikel_ziegler_bound_02           32.94      30.69      31.22     0.947     0.927
length_ratio_integer_02             30.14      29.43      29.70     0.993     0.995
length_ratio_integer_01             29.33      28.54      27.84     0.966     0.969
burnikel_ziegler_bound_00           29.18      26.42      26.86     0.908     0.927
length_ratio_integer_03             28.04      27.62      27.22     0.994     0.977
length_ratio_integer_05             27.31      26.55      27.05     0.988     0.993
medium_02                           27.05      24.90      24.33     0.926     0.889
a_max_b_random_02                   26.03      25.66      25.61     0.981     1.006
burnikel_ziegler_bound_03           25.98      25.70      25.81     0.992     1.001
large_01                            25.56      24.74      24.85     0.967     0.976
length_ratio_integer_04             24.97      24.48      24.58     1.011     0.999
burnikel_ziegler_bound_01           24.71      24.00      24.48     0.974     0.966
a_max_b_random_01                   24.57      24.69      24.23     1.019     1.017
large_00                            23.39      22.61      22.99     0.963     0.954
medium_01                           23.11      23.81      23.14     1.006     1.052
r_nearly_zero_02                    21.89      20.44      20.38     0.932     0.953
a_max_b_random_00                   18.64      18.76      18.29     0.993     0.979
medium_00                           17.79      17.69      18.55     1.003     1.038
r_nearly_zero_00                    16.17      15.97      15.94     0.990     0.999
small_00                            12.46      12.43      12.36     1.018     1.003
max_01                               5.16       5.03       4.92     0.938     1.021
max_02                               3.41       3.28       3.65     0.965     1.071
max_00                               3.13       3.14       3.19     0.985     1.088
example_00                           1.52       1.60       1.49     1.142     0.983

SCORE(max) d34      =    35.78 ms   @length_ratio_integer_00
SCORE(max) d37      =    36.89 ms   @length_ratio_integer_00
SCORE(max) d38      =    35.26 ms   @length_ratio_integer_00

median-of-ratios d37      vs d34      = 0.9861  (min 0.908 max 1.142)
median-of-ratios d38      vs d34      = 0.9880  (min 0.889 max 1.088)
DONE
