ts,host,op,case,min_ms,med_ms,all_ms,tag
20260730_124116,local,div,div_large_0.in,50.7,158.8,"266.9,50.7",cyclic_test
20260730_124116,local,div,div_medium_0.in,77.3,77.4,"77.4,77.3",cyclic_test
