ts,host,op,case,label,min_ms,med_ms,all_ms,tag
20260730_165314,local,add,add_medium_0.in,med0,17.5,18.3,"19.2,18.9,18.3,17.8,17.5",baseline_pre_clean
20260730_165314,local,add,add_medium_1.in,med1,17.8,18.2,"18.2,17.8,18.2,18.9,18.3",baseline_pre_clean
20260730_165314,local,add,add_large_0.in,large,17.2,17.6,"17.2,17.7,17.6,17.6,17.5",baseline_pre_clean
20260730_165314,local,add,add_max_0.in,max0,17.0,17.3,"17.6,17.4,17.0,17.2,17.3",baseline_pre_clean
20260730_165314,local,add,add_max_1.in,max1,16.7,16.9,"17.0,16.7,17.0,16.9,16.8",baseline_pre_clean
20260730_165314,local,mul,mul_medium_0.in,med,29.1,29.9,"29.9,30.3,30.5,29.1,29.8",baseline_pre_clean
20260730_165314,local,mul,mul_large_0.in,large,32.3,32.6,"32.5,32.3,33.2,32.9,32.6",baseline_pre_clean
20260730_165314,local,mul,mul_max_0.in,max0,38.0,38.9,"38.9,40.1,38.3,38.0,39.7",baseline_pre_clean
20260730_165314,local,mul,mul_max_1.in,max1,38.4,38.8,"38.4,40.5,39.5,38.7,38.8",baseline_pre_clean
20260730_165314,local,div,div_medium_0.in,med,33.0,33.4,"33.0,33.4,33.8,33.9,33.0",baseline_pre_clean
20260730_165314,local,div,div_large_0.in,large,47.0,47.7,"47.5,48.0,47.9,47.7,47.0",baseline_pre_clean
20260730_165314,local,div,div_max_0.in,max0,15.4,15.6,"15.6,15.9,15.5,15.4,16.3",baseline_pre_clean
20260730_165314,local,div,div_max_2.in,max2,16.7,16.9,"17.7,16.9,17.0,16.7,16.8",baseline_pre_clean
