ts,host,op,case,label,min_ms,med_ms,all_ms,tag
20260730_193149,local,add,add_medium_0.in,med0,18.8,19.5,"20.9,18.8,19.5,18.8,19.8",opt1_2_static_longdouble
20260730_193149,local,add,add_medium_1.in,med1,18.7,19.5,"20.0,18.7,19.6,19.4,19.5",opt1_2_static_longdouble
20260730_193149,local,add,add_large_0.in,large,17.7,18.1,"21.7,18.0,18.6,18.1,17.7",opt1_2_static_longdouble
20260730_193149,local,add,add_max_0.in,max0,14.9,15.6,"16.2,15.6,15.8,14.9,15.1",opt1_2_static_longdouble
20260730_193149,local,add,add_max_1.in,max1,14.1,15.2,"15.7,15.0,15.2,15.3,14.1",opt1_2_static_longdouble
20260730_193149,local,mul,mul_medium_0.in,med,28.9,30.0,"39.5,28.9,30.0,29.7,30.1",opt1_2_static_longdouble
20260730_193149,local,mul,mul_large_0.in,large,31.9,33.2,"34.2,33.2,31.9,32.0,34.0",opt1_2_static_longdouble
20260730_193149,local,mul,mul_max_0.in,max0,23.8,24.2,"27.0,24.4,23.9,24.2,23.8",opt1_2_static_longdouble
20260730_193149,local,mul,mul_max_1.in,max1,24.5,24.9,"25.6,24.6,25.3,24.5,24.9",opt1_2_static_longdouble
20260730_193149,local,div,div_medium_0.in,med,32.8,33.0,"34.9,33.0,32.9,33.1,32.8",opt1_2_static_longdouble
20260730_193149,local,div,div_large_0.in,large,45.5,46.0,"49.4,45.5,46.6,46.0,46.0",opt1_2_static_longdouble
20260730_193149,local,div,div_max_0.in,max0,38.4,38.8,"39.9,38.5,39.8,38.4,38.8",opt1_2_static_longdouble
20260730_193149,local,div,div_max_2.in,max2,42.4,44.1,"44.1,44.1,42.5,44.3,42.4",opt1_2_static_longdouble
